Gene_ID,Cancer_Type,Gene_Mutation_Count,Gene_Severe_Mutation_Count,Gene_Individuals_with_Mutations_Count,Gene_Individuals_with_Severe_Mutations_Count
IGHG1,Diffuse_Large_B_Cell_Lymphoma,32,3,8,2
CARD11,Diffuse_Large_B_Cell_Lymphoma,9,0,8,0
CD70,Diffuse_Large_B_Cell_Lymphoma,4,4,4,4
KALRN,Diffuse_Large_B_Cell_Lymphoma,7,0,7,0
TPO,Diffuse_Large_B_Cell_Lymphoma,4,0,4,0
B2M,Diffuse_Large_B_Cell_Lymphoma,12,5,9,5
IGHJ6,Diffuse_Large_B_Cell_Lymphoma,7,1,6,1
DNAH17,Diffuse_Large_B_Cell_Lymphoma,4,0,4,0
IGLV4-60,Diffuse_Large_B_Cell_Lymphoma,10,0,5,0
ERBB4,Diffuse_Large_B_Cell_Lymphoma,4,0,4,0
IGKJ2,Diffuse_Large_B_Cell_Lymphoma,6,1,5,1
SOX11,Diffuse_Large_B_Cell_Lymphoma,4,0,4,0
MYD88,Diffuse_Large_B_Cell_Lymphoma,7,0,7,0
TTN,Diffuse_Large_B_Cell_Lymphoma,7,1,6,1
DENND5B,Diffuse_Large_B_Cell_Lymphoma,4,0,4,0
SEMA5A,Diffuse_Large_B_Cell_Lymphoma,4,0,4,0
LRP1B,Diffuse_Large_B_Cell_Lymphoma,10,1,10,1
SLC45A1,Diffuse_Large_B_Cell_Lymphoma,4,0,4,0
DGKI,Diffuse_Large_B_Cell_Lymphoma,4,1,4,1
MUC5B,Diffuse_Large_B_Cell_Lymphoma,8,0,6,0
SHANK2,Diffuse_Large_B_Cell_Lymphoma,5,1,5,1
PDE3A,Diffuse_Large_B_Cell_Lymphoma,5,1,4,1
PLCE1,Diffuse_Large_B_Cell_Lymphoma,4,0,4,0
FLG,Diffuse_Large_B_Cell_Lymphoma,6,0,6,0
ACTG1,Diffuse_Large_B_Cell_Lymphoma,5,1,4,1
MPDZ,Diffuse_Large_B_Cell_Lymphoma,5,0,4,0
ACTB,Diffuse_Large_B_Cell_Lymphoma,7,1,4,1
HIST1H3J,Diffuse_Large_B_Cell_Lymphoma,8,0,7,0
IGHG2,Diffuse_Large_B_Cell_Lymphoma,33,4,8,4
HIST1H2BC,Diffuse_Large_B_Cell_Lymphoma,5,0,5,0
SPATA31D5P,Diffuse_Large_B_Cell_Lymphoma,4,0,4,0
ANKRD11,Diffuse_Large_B_Cell_Lymphoma,4,1,4,1
MYC,Diffuse_Large_B_Cell_Lymphoma,15,0,7,0
MAST4,Diffuse_Large_B_Cell_Lymphoma,4,0,4,0
TP53,Diffuse_Large_B_Cell_Lymphoma,5,2,5,2
BCL11B,Diffuse_Large_B_Cell_Lymphoma,4,0,4,0
CIITA,Diffuse_Large_B_Cell_Lymphoma,8,3,7,3
BTG1,Diffuse_Large_B_Cell_Lymphoma,14,2,9,2
PCDHA4,Diffuse_Large_B_Cell_Lymphoma,4,0,4,0
KMT2D,Diffuse_Large_B_Cell_Lymphoma,17,12,13,11
TRPM3,Diffuse_Large_B_Cell_Lymphoma,6,0,4,0
PKD1L2,Diffuse_Large_B_Cell_Lymphoma,4,0,4,0
MAGI2,Diffuse_Large_B_Cell_Lymphoma,5,0,5,0
IGLV2-14,Diffuse_Large_B_Cell_Lymphoma,13,0,4,0
KMT2C,Diffuse_Large_B_Cell_Lymphoma,4,0,4,0
STAT6,Diffuse_Large_B_Cell_Lymphoma,6,0,4,0
USH2A,Diffuse_Large_B_Cell_Lymphoma,7,0,6,0
UBR4,Diffuse_Large_B_Cell_Lymphoma,5,1,5,1
ARID1A,Diffuse_Large_B_Cell_Lymphoma,4,3,4,3
IRF2BP2,Diffuse_Large_B_Cell_Lymphoma,4,0,4,0
HIST1H2AC,Diffuse_Large_B_Cell_Lymphoma,8,1,7,1
DMD,Diffuse_Large_B_Cell_Lymphoma,9,1,5,1
IGLV4-3,Diffuse_Large_B_Cell_Lymphoma,9,0,4,0
RIMS2,Diffuse_Large_B_Cell_Lymphoma,4,0,4,0
IRF4,Diffuse_Large_B_Cell_Lymphoma,11,0,6,0
BCL7A,Diffuse_Large_B_Cell_Lymphoma,4,0,4,0
PIM1,Diffuse_Large_B_Cell_Lymphoma,72,5,10,4
IGHV1-69,Diffuse_Large_B_Cell_Lymphoma,28,1,12,1
LRRN3,Diffuse_Large_B_Cell_Lymphoma,7,0,6,0
IGHV4-34,Diffuse_Large_B_Cell_Lymphoma,26,2,8,1
SPRY3,Diffuse_Large_B_Cell_Lymphoma,6,0,5,0
MPEG1,Diffuse_Large_B_Cell_Lymphoma,14,1,5,1
GABRG3,Diffuse_Large_B_Cell_Lymphoma,4,0,4,0
HLA-B,Diffuse_Large_B_Cell_Lymphoma,4,4,4,4
FAT3,Diffuse_Large_B_Cell_Lymphoma,5,0,5,0
NFKBIA,Diffuse_Large_B_Cell_Lymphoma,7,3,5,2
LRP2,Diffuse_Large_B_Cell_Lymphoma,5,1,5,1
LIMD2,Diffuse_Large_B_Cell_Lymphoma,5,2,4,2
OSBPL10,Diffuse_Large_B_Cell_Lymphoma,23,1,6,1
MUC16,Diffuse_Large_B_Cell_Lymphoma,8,0,7,0
NFKBIE,Diffuse_Large_B_Cell_Lymphoma,8,4,5,2
CDH26,Diffuse_Large_B_Cell_Lymphoma,4,0,4,0
CREBBP,Diffuse_Large_B_Cell_Lymphoma,5,1,5,1
ARHGAP21,Diffuse_Large_B_Cell_Lymphoma,4,2,4,2
VWDE,Diffuse_Large_B_Cell_Lymphoma,4,1,4,1
CHD5,Diffuse_Large_B_Cell_Lymphoma,5,0,4,0
P2RY8,Diffuse_Large_B_Cell_Lymphoma,8,0,6,0
OBSCN,Diffuse_Large_B_Cell_Lymphoma,4,0,4,0
AMOT,Diffuse_Large_B_Cell_Lymphoma,4,0,4,0
BTG2,Diffuse_Large_B_Cell_Lymphoma,20,4,13,3
PCDH15,Diffuse_Large_B_Cell_Lymphoma,7,1,6,1
NRK,Diffuse_Large_B_Cell_Lymphoma,5,0,4,0
HIST1H1B,Diffuse_Large_B_Cell_Lymphoma,4,0,4,0
HMCN1,Diffuse_Large_B_Cell_Lymphoma,5,1,5,1
IGLV3-1,Diffuse_Large_B_Cell_Lymphoma,56,5,16,4
PLCB1,Diffuse_Large_B_Cell_Lymphoma,4,1,4,1
